Freq,Rect,Flattop
18740000,-67.715,-91.905
18740040,-47.2825,-91.985
18740080,-42.0025,-75.7675
18740120,-38.6025,-83.07
18740160,-36.4325,-90.7475
18740200,-34.6025,-93.3625
18740240,-33.425,-98.6375
18740280,-32.535,-89.5225
18740320,-32.045,-96.15
18740360,-31.48,-92.155
18740400,-31.2425,-95.03
18740440,-31.21,-92.2075
18740480,-31.4475,-89.06
18740520,-31.875,-86.64
18740560,-32.445,-89.595
18740600,-33.51,-86.58
18740640,-34.6925,-87.6375
18740680,-36.2225,-86.36
18740720,-38.7275,-85.325
18740760,-42.96,-88.8775
18740800,-49.7575,-84.625
18740840,-60.365,-85.19
18740880,-45.475,-85.4325
18740920,-39.99,-86.385
18740960,-37.4275,-86.31
18741000,-35.2625,-88.1925
18741040,-33.7825,-86.385
18741080,-32.3525,-88.7425
18741120,-31.6575,-83.3025
18741160,-31.04,-87.8675
18741200,-30.6025,-88.3025
18741240,-30.4725,-80.395
18741280,-30.4975,-86.275
18741320,-30.6825,-94.96
18741360,-31.045,-89.9675
18741400,-31.81,-85.205
18741440,-32.9175,-84.0075
18741480,-34.0575,-80.9825
18741520,-36.12,-74.3375
18741560,-38.66,-74.7525
18741600,-42.2575,-82.1775
18741640,-51.115,-81.6375
18741680,-54.9325,-81.6675
18741720,-43.835,-81.635
18741760,-39.105,-77.2675
18741800,-36.1275,-80.7075
18741840,-33.98,-81.3025
18741880,-32.52,-78.75
18741920,-31.36,-83.0975
18741960,-30.5,-79.635
18742000,-30.025,-74.405
18742040,-29.795,-81
18742080,-29.5075,-79.68
18742120,-29.5625,-83.7075
18742160,-29.9325,-71.73
18742200,-30.31,-80.995
18742240,-31.0075,-85.9475
18742280,-32.06,-76.805
18742320,-33.4225,-84.1175
18742360,-35.2525,-83.25
18742400,-37.7875,-93.055
18742440,-42.575,-93.865
18742480,-51.875,-82.8
18742520,-50.955,-92.9325
18742560,-41.5375,-79.52
18742600,-37.71,-83.55
18742640,-34.6575,-86.2525
18742680,-33.02,-79.89
18742720,-31.2925,-82.16
18742760,-30.4475,-80.87
18742800,-29.5625,-80.235
18742840,-29.1375,-79.14
18742880,-28.665,-74.21
18742920,-28.5475,-78.68
18742960,-28.65,-77.355
18743000,-28.9025,-78.6875
18743040,-29.415,-77.6825
18743080,-30.215,-72.485
18743120,-31.2325,-75.5825
18743160,-32.7075,-75.8475
18743200,-34.7775,-72.475
18743240,-37.6,-74.7075
18743280,-42.32,-78.995
18743320,-55.74,-81.3075
18743360,-47.335,-74.475
18743400,-40.01,-81.5575
18743440,-36.0925,-83.7825
18743480,-33.4475,-85.8375
18743520,-31.7025,-73.0675
18743560,-30.2325,-72.665
18743600,-29.1575,-87.4825
18743640,-28.305,-92.9125
18743680,-27.7825,-90.55
18743720,-27.5625,-89.7525
18743760,-27.5025,-94.4525
18743800,-27.6825,-86.03
18743840,-27.9025,-93.6
18743880,-28.405,-87.6025
18743920,-29.2875,-92.8875
18743960,-30.4875,-99.4025
18744000,-32.225,-93.0325
18744040,-33.805,-95.8775
18744080,-37.0025,-90.6575
18744120,-42.3225,-81.4625
18744160,-57.9475,-88.3675
18744200,-44.35,-79.96
18744240,-37.7075,-88.835
18744280,-34.29,-77.335
18744320,-31.9175,-90.4975
18744360,-30.11,-91.475
18744400,-28.8225,-87.4475
18744440,-27.8625,-85.0775
18744480,-26.9975,-92.8175
18744520,-26.575,-92.8925
18744560,-26.405,-85.305
18744600,-26.2275,-82.63
18744640,-26.29,-73.8875
18744680,-26.655,-87.9625
18744720,-27.2375,-89.98
18744760,-28.0675,-84.435
18744800,-29.4,-84.7425
18744840,-30.845,-82.25
18744880,-33.16,-72.6375
18744920,-36.3425,-80.13
18744960,-42.27,-79.9425
18745000,-76.3675,-80.325
18745040,-41.86,-77.87
18745080,-35.885,-77.815
18745120,-32.6775,-71.9375
18745160,-30.0825,-75.9975
18745200,-28.3475,-72.5925
18745240,-27.1425,-75.815
18745280,-26.17,-64.28
18745320,-25.5025,-74.38
18745360,-25.12,-74.4275
18745400,-24.745,-74.7175
18745440,-24.7925,-74.04
18745480,-24.9175,-73.1375
18745520,-25.2875,-74.4175
18745560,-25.9025,-74.325
