Freq,Current 001,Current 010,Current 011,Current 100,Current 101,Current 110,Current 111,100 Ohm + Current 001,100 Ohm + Current 010,100 Ohm + Current 011,100 Ohm + Current 100,100 Ohm + Current 101,100 Ohm + Current 110,100 Ohm + Current 111,,,,,,120 Ohm
150000000,-22.95,-19.08,-18.09,-17.4,-18.13,-17.41,-16.76,-22.96,-19.52,-18.83,-18.8,-17.91,-18.21,-18.12,,,,,,-18.12
160000000,-22.74,-19.1,-18.02,-17.61,-17.39,-17.4,-17.37,-23.28,-19.81,-18.53,-18.1,-17.95,-18.08,-18.26,,,,,,-17.92
170000000,-22.05,-19.03,-17.95,-17.44,-17.42,-17.3,-17.45,-23.03,-19.43,-18.32,-18.01,-17.63,-17.8,-18.2,,,,,,-17.86
180000000,-22.69,-19.12,-17.93,-17.4,-17.18,-17.19,-17.19,-22.83,-19.35,-18.21,-17.72,-17.53,-17.59,-17.86,,,,,,-17.64
190000000,-22.07,-19.15,-17.94,-17.45,-17.32,-17.11,-17.26,-22.37,-19.3,-18.15,-17.55,-17.55,-17.49,-17.8,,,,,,-17.5
200000000,-22.17,-19.12,-17.72,-17.29,-16.87,-16.75,-16.83,-22.59,-19.34,-18.15,-17.79,-17.14,-17.24,-17.75,,,,,,-17.56
210000000,-22.67,-19.06,-17.81,-17.24,-17.05,-17.02,-17,-22.87,-19.09,-18.12,-17.6,-17.25,-17.3,-17.65,,,,,,-17.37
220000000,-22,-18.88,-17.87,-17.21,-17.05,-16.86,-16.99,-22.05,-19.12,-18.01,-17.58,-17.29,-17.38,-17.82,,,,,,-17.37
230000000,-22.26,-18.68,-17.48,-17.1,-16.94,-16.99,-16.92,-22.11,-19.11,-17.99,-17.75,-17.35,-17.51,-17.79,,,,,,-17.36
240000000,-21.97,-18.65,-17.66,-17.24,-17.12,-17.02,-17.21,-22.75,-19.28,-18.39,-18.18,-17.67,-17.95,-18.43,,,,,,-17.58
250000000,-21.64,-18.51,-17.98,-17.25,-17.48,-17.2,-17.67,-22.44,-19.56,-18.91,-18.39,-18.2,-18.11,-19.05,,,,,,-17.92
260000000,-21.43,-18.41,-17.37,-17.05,-16.8,-16.84,-16.89,-22.8,-19.49,-18.58,-18.19,-17.94,-18.04,-18.24,,,,,,-17.88
270000000,-21.35,-18.26,-17.53,-16.95,-16.87,-16.88,-17.25,-22.42,-19.7,-18.74,-18.56,-18.24,-18.3,-18.6,,,,,,-18.1
280000000,-20.64,-18.09,-17.39,-16.98,-17.11,-16.87,-17.01,-22.76,-19.69,-19.06,-18.65,-18.51,-18.52,-18.89,,,,,,-18.25
290000000,-20.59,-18.19,-17.4,-17.13,-17.01,-17.04,-17.24,-22.39,-20.14,-19.27,-18.93,-18.81,-19.01,-19.28,,,,,,-18.58
300000000,-20.96,-18.08,-17.67,-16.93,-16.65,-17.48,-16.96,-22.69,-20.41,-19.65,-19.16,-19.48,-19.7,-19.42,,,,,,-19.05
310000000,-20.51,-18.2,-17.54,-17.3,-17.26,-17.21,-17.44,-23.09,-20.64,-20.07,-19.7,-19.54,-19.59,-20.05,,,,,,-19.37
320000000,-20.67,-17.99,-17.72,-17.27,-17.24,-17.43,-17.64,-23.32,-20.84,-20.16,-19.92,-19.78,-20.14,-20.41,,,,,,-19.46
330000000,-19.55,-17.99,-17.48,-17.43,-17.4,-17.51,-17.77,-23.61,-20.91,-20.39,-20.11,-20.06,-20.53,-20.61,,,,,,-19.68
340000000,-20.27,-18.26,-17.75,-17.6,-17.55,-17.72,-18.08,-23.46,-21.29,-20.78,-20.49,-20.46,-20.67,-20.87,,,,,,-19.99
350000000,-19.83,-18.13,-17.82,-17.74,-17.77,-17.95,-18.19,-24.03,-21.51,-20.97,-20.85,-20.74,-21,-21.29,,,,,,-20.39
360000000,-20.44,-18.43,-18.09,-17.88,-17.97,-18.12,-18.46,-24.52,-21.81,-21.31,-21.1,-20.93,-21.34,-21.59,,,,,,-20.58
370000000,-20.63,-18.52,-18.14,-17.99,-18.05,-18.38,-18.53,-24.18,-22,-21.47,-21.28,-21.15,-21.67,-22.19,,,,,,-20.61
380000000,-20.47,-18.56,-18.37,-18.14,-18.26,-18.39,-18.61,-24.7,-21.99,-21.53,-21.24,-21.27,-21.48,-21.79,,,,,,-20.92
390000000,-20.42,-18.79,-18.36,-18.29,-18.47,-18.63,-18.75,-24.3,-22.33,-21.67,-21.5,-21.47,-21.64,-21.9,,,,,,-21
400000000,-21.13,-18.92,-18.49,-18.62,-18.23,-18.59,-18.89,-24.7,-22.3,-21.93,-21.78,-21.74,-21.51,-22.4,,,,,,-20.95
410000000,-20.97,-19.37,-18.86,-18.62,-18.77,-18.86,-19.08,-24.79,-22.65,-21.99,-21.72,-21.78,-21.9,-22.2,,,,,,-21.3
420000000,-21.96,-19.53,-19.1,-18.78,-18.92,-19.09,-19.49,-25.55,-22.83,-22.04,-21.85,-21.85,-22.25,-22.44,,,,,,-21.52
430000000,-22.29,-19.73,-19.14,-19.01,-19.17,-19.36,-19.44,-25.11,-22.76,-22.18,-21.88,-21.98,-22.16,-22.43,,,,,,-21.36
440000000,-21.95,-19.72,-19.45,-19.17,-19.31,-19.34,-19.61,-25.02,-22.7,-22.25,-22.03,-22,-22.26,-22.56,,,,,,-21.49
450000000,-22.84,-20.28,-19.59,-19.36,-19.42,-19.49,-19.71,-25.27,-22.9,-22.42,-22.05,-22.02,-22.4,-22.61,,,,,,-21.45
