frequency,gain,100p,through PCB,through BNC,shorter SMA,100 Ohm shunt,Shunt + 100p
150000000,-9.12,-9.86,-9.31,-10.36,-14.03,-15.74,-15.15
160000000,-10.58,-11.18,-8.36,-9.37,-12.35,-15.32,-16.19
170000000,-9.95,-10.6,-8.37,-8.59,-12.29,-15.3,-15.98
180000000,-9,-9.78,-8.6,-8.59,-12.13,-15.29,-15.83
190000000,-8.49,-9.26,-9.57,-9.95,-12.19,-15.36,-15.52
200000000,-7.87,-8.92,-10.39,-11.8,-11.71,-15.41,-15.7
210000000,-7.47,-8.09,-11.04,-12.95,-11.8,-15.29,-15.25
220000000,-7.25,-7.89,-11.64,-13.8,-11.62,-15.64,-15.08
230000000,-7.47,-7.81,-12.41,-14.47,-11.34,-15.5,-15.03
240000000,-7.78,-8.16,-12.58,-14.41,-11.15,-15.49,-14.92
250000000,-8.29,-8.89,-12.51,-13.54,-10.73,-15.7,-15.03
260000000,-8.76,-9.23,-12.4,-12.68,-10.41,-15.63,-14.88
270000000,-9.81,-10.2,-12.43,-11.11,-9.86,-15.47,-14.7
280000000,-10.26,-10.7,-11.77,-9.79,-9.21,-15.42,-14.7
290000000,-10.68,-11.15,-10.84,-10.33,-9.03,-15.59,-14.78
300000000,-11.05,-11.54,-10.13,-12.18,-8.47,-15.42,-14.76
310000000,-11.4,-11.91,-9.18,-14.41,-8.23,-15.41,-14.89
320000000,-11.6,-12.2,-8.42,-15.84,-7.99,-15.44,-14.95
330000000,-11.79,-12.48,-8.11,-16.87,-8,-15.5,-15.07
340000000,-11.72,-12.41,-8.16,-17.35,-8.07,-15.43,-15.13
350000000,-11.65,-12.44,-8.65,-17.25,-8.2,-15.36,-15.15
360000000,-11.62,-12.31,-9.52,-16.74,-8.67,-15.61,-15.33
370000000,-11.44,-12.14,-10.41,-15.6,-9.13,-15.54,-15.45
380000000,-10.92,-11.8,-11.1,-13.72,-9.46,-15.47,-15.57
390000000,-10.41,-11.17,-11.83,-11.92,-10.1,-15.59,-15.72
400000000,-9.71,-10.53,-12.05,-11.23,-10.55,-15.72,-15.74
410000000,-9.23,-10.18,-12.24,-12.71,-10.96,-15.63,-15.87
420000000,-8.73,-9.5,-12.2,-14.68,-11.37,-15.64,-15.95
430000000,-8.27,-8.97,-11.92,-16.79,-11.79,-15.68,-16.01
440000000,-8.2,-8.63,-11.58,-17.83,-11.9,-15.73,-16.09
450000000,-8.06,-8.61,-11.13,-18.71,-12.23,-15.87,-16.22
460000000,-8.38,-8.75,-10.48,-18.94,-12.56,-15.91,-16.23
470000000,-8.93,-9.01,-10.02,-18.48,-12.81,-16,-16.33
480000000,-9.53,-9.56,-9.19,-17.45,-12.87,-16.3,-16.38
490000000,-10,-10.12,-9.17,-15.86,-12.88,-16.19,-16.45
500000000,-10.68,-10.79,-9.37,-13.91,-13.16,-16.31,-16.55
510000000,-11.42,-11.61,-10.12,-11.88,-13.04,-16.55,-16.59
520000000,-11.7,-11.89,-10.99,-11.9,-12.95,-16.36,-16.44
530000000,-12.11,-12.23,-11.64,-14.19,-12.77,-16.54,-16.52
540000000,-12.4,-12.66,-12.43,-16.08,-12.69,-16.45,-16.5
550000000,-12.65,-12.96,-13.06,-17.63,-12.49,-16.55,-16.54
560000000,-12.66,-13.06,-13.48,-18.44,-12.3,-16.47,-16.43
570000000,-12.67,-13.16,-13.75,-18.86,-11.96,-16.53,-16.42
