"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";
"1";"";"L-EUL2012C";"L2012C";"L1";"INDUCTOR, European symbol";"";"";"";"";"";"";"";
"1";"";"ML26L";"ML26L";"SV1";"HARTING";"";"";"unknown";"unknown";"";"";"";
"1";"";"PINHD-1X3";"1X03";"JP1";"PIN HEADER";"";"";"";"";"";"";"";
"1";"";"PINHD-2X4";"2X04";"JP2";"PIN HEADER";"";"";"";"";"";"";"";
"1";"";"PINHD-2X8/90";"2X08/90";"JP4";"PIN HEADER";"";"";"";"";"";"";"";
"2";"100n";"C-EUC0402K";"C0402K";"C1, C13";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"9";"100n";"C-EUC0603K";"C0603K";"C7, C8, C9, C11, C12, C15, C16, C17, C18";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"3";"10u";"C-EUC1206K";"C1206K";"C5, C6, C19";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"2";"12R4";"R-EU_R0603";"R0603";"R2, R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"5";"1k";"R-EU_R0603";"R0603";"R5, R6, R7, R9, R10";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"2";"1u";"C-EUC0603K";"C0603K";"C3, C4";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"1";"220";"R-EU_R0603";"R0603";"R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"2";"2u2";"C-EUC0603K";"C0603K";"C2, C14";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"16";"33";"R-EU_R0603";"R0603";"R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"4";"50";"R-EU_R0603";"R0603";"R1, R4, R8, R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"74VCX16373";"74VCX16373";"SOP50P810X120-48";"IC3";"";"";"";"";"";"";"";"";
"1";"8p2";"C-EUC0603K";"C0603K";"C10";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"1";"ETC1-1T";"ETC1-1T";"SM-22";"B1";"";"";"";"";"";"";"";"";
"1";"Green";"LED_ESML0603";"LED_SML0603";"LED3";"LED";"";"";"";"";"NONE";"D";"diode";
"1";"LP5907";"LP5907";"SOT23-5L";"IC2";"";"";"";"";"";"";"";"";
"1";"LTC2246";"LTC2246";"TQFP32-EP";"IC1";"";"";"";"";"";"";"";"";
"2";"NC7SZ14P5X";"NC7SZ14P5X";"SC70-5";"IC4, IC5";"TinyLogic(R) UHS Inverter with Schmitt Trigger Input";"";"";"";"";"";"";"";
"2";"SMA-142-0711-871/876";"SMA-142-0711-871/876";"J502-ND-142-0711-871/876";"X1, X2";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"JOHNSON COMPONENTS";"142-0711-871";"unknown";"01C1639";"";"";"";
