"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";
"1";"";"PINHD-1X6/90";"1X06/90";"JP1";"PIN HEADER";"";"";"";"";"";"";"";
"2";"100";"R-EU_R0603";"R0603";"R3, R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"12";"100n";"C-EUC0603K";"C0603K";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12";"CAPACITOR, European symbol";"";"";"";"";"";"C";"";
"3";"10k";"R-EU_R0603";"R0603";"R6, R9, R14";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"10u";"C-EUC1206";"C1206";"C13";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"220";"R-EU_R0603";"R0603";"R10";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"250";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"2k49";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"2";"51";"R-EU_R0603";"R0603";"R12, R13";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"2";"62";"R-EU_R0603";"R0603";"R4, R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"75";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"3";"BSS123";"BSS123";"SOT23";"Q1, Q2, Q3";"N-CHANNEL MOS FET";"";"";"";"";"";"";"";
"1";"Green";"LED_ESML0603";"LED_SML0603";"LED1";"LED";"";"";"";"";"NONE";"D";"diode";
"6";"RFSW6024";"RFSW6024";"QFN16";"IC1, IC2, IC3, IC4, IC5, IC6";"";"";"";"";"";"";"";"";
"6";"SMA-142-0711-871/876";"SMA-142-0711-871/876";"J502-ND-142-0711-871/876";"X1, X2, X3, X4, X5, X6";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"JOHNSON COMPONENTS";"142-0711-871";"unknown";"01C1639";"";"";"";
